prompt_id,politician,prompt_version,query,region
prompt0_repetition0_medium,Donald Trump,disregards,DOJ OIG report zero tolerance family separation January 2021 pdf,US
prompt0_repetition0_medium,Donald Trump,disregards,"Ms. L. v. U.S. Immigration and Customs Enforcement preliminary injunction order June 26, 2018 PDF courtlistener",US
prompt0_repetition0_medium,Donald Trump,disregards,"Ms. L. v. U.S. Immigration and Customs Enforcement preliminary injunction June 26, 2018 CourtListener PDF 310 F. Supp. 3d 1133",US
prompt0_repetition0_medium,Donald Trump,disregards,310 F. Supp. 3d 1133 preliminary injunction Ms. L. v. ICE PDF courtlistener 2018,US
prompt0_repetition0_medium,Donald Trump,disregards,Amnesty International travel ban discriminatory human rights Trump 2018 statement,US
prompt0_repetition0_medium,Donald Trump,disregards,Trump pardons Eddie Gallagher war crimes Navy SEAL restore rank 2019 DoD statement,US
prompt0_repetition0_medium,Donald Trump,disregards,Trump please don't be too nice police speech July 28 2017 Long Island transcript police brutality joke,US
prompt0_repetition0_medium,Donald Trump,disregards,UNHCR Title 42 violates refugee law statement 2020 'non-refoulement' United States,US
prompt0_repetition0_medium,Donald Trump,disregards,2025 Proclamation travel ban June 2025 Proclamation visa restrictions Trump Federal Register 2025 travel ban proclamation,US
prompt0_repetition0_medium,Donald Trump,disregards,OHCHR family separation United States statement 2018 'serious violation' rights of the child,US
prompt0_repetition0_medium,Donald Trump,disregards,CBP Title 42 expulsions monthly statistics site:cbp.gov 2020 2023 PDF,US
prompt0_repetition0_medium,Donald Trump,disregards,Migrant Protection Protocols Remain in Mexico human rights violations Human Rights Watch report 2020,US
prompt0_repetition0_medium,Donald Trump,disregards,DOJ OIG Review of the Department of Justice’s Planning and Implementation of Its Zero Tolerance Policy and Its Coordination with the Departments of Homeland Security and Health and Human Services January 2021 PDF site:oig.justice.gov,US
prompt0_repetition0_medium,Donald Trump,disregards,Review of the Department of Justice's Planning and Implementation of Its Zero Tolerance Policy and Its Coordination with the Departments of Homeland Security and Health and Human Services PDF January 2021 site:oig.justice.gov pdf,US
prompt0_repetition1_medium,Donald Trump,disregards,OHCHR UN condemns US family separation policy 2018 statement,US
prompt0_repetition1_medium,Donald Trump,disregards,OHCHR USA must stop separating children at the border press briefing notes June 2018 OHCHR,US
prompt0_repetition1_medium,Donald Trump,disregards,UN experts condemn U.S. travel ban discriminatory 2017 OHCHR,US
prompt0_repetition1_medium,Donald Trump,disregards,Human Rights Watch US Remain in Mexico harms asylum seekers 2019 report,US
prompt0_repetition1_medium,Donald Trump,disregards,UNHCR statement Title 42 expulsions asylum violate non-refoulement 2020,US
prompt0_repetition1_medium,Donald Trump,disregards,Trump pardons war crimes Eddie Gallagher Clint Lorance Human Rights Watch 2019 statement,US
prompt0_repetition1_medium,Donald Trump,disregards,Executive Order 13928 blocking property of certain persons associated with the International Criminal Court text,US
prompt0_repetition1_medium,Donald Trump,disregards,Protecting Life in Global Health Assistance expansion impact report Human Rights Watch 2020 Mexico City Policy Trump expanded global gag rule harms women's health,US
