index,prompt_id,politician,prompt_version,query,event,website,domain,year,region
1,prompt0_repetition0_medium,Nigel Farage,disregards,Nigel Farage leave ECHR Reform UK 2024 statement Reuters,,Reuters,,1,UK
2,prompt0_repetition0_medium,Nigel Farage,disregards,Reuters Farage leave European Convention on Human Rights 2024 Reform UK,,Reuters,,1,UK
3,prompt0_repetition0_medium,Nigel Farage,disregards,Reform UK Contract 2024 ECHR Human Rights Act PDF,,,,1,UK
4,prompt0_repetition0_medium,Nigel Farage,disregards,Nigel Farage abolish Human Rights Act quote 2014,,,,1,UK
5,prompt0_repetition0_medium,Nigel Farage,disregards,BBC ECHR Rwanda flight injunction June 2022 European Court of Human Rights blocked deportation,,BBC,,1,UK
6,prompt0_repetition0_medium,Nigel Farage,disregards,UK Supreme Court Rwanda judgment press summary 15 November 2023 UKSC 2023 Press Summary Rwanda asylum,,,,1,UK
7,prompt0_repetition0_medium,Nigel Farage,disregards,Breaking Point poster condemned Nigel Farage 2016 BBC,,BBC,,1,UK
8,prompt0_repetition0_medium,Nigel Farage,disregards,Ofcom breaches GB News impartiality ruling date 2023 2024 Ofcom sanctions,,Ofcom; GB News,,1,UK
9,prompt0_repetition1_medium,Nigel Farage,disregards,Nigel Farage leave ECHR statement Reuters,,Reuters,,0,UK
10,prompt0_repetition1_medium,Nigel Farage,disregards,BBC Nigel Farage plan to leave ECHR Reform UK 2025,,BBC,,1,UK
11,prompt0_repetition1_medium,Nigel Farage,disregards,Amnesty International UK leaving ECHR consequences UK human rights,,Amnesty,,0,UK
12,prompt0_repetition2_medium,Nigel Farage,disregards,UKIP 2015 manifesto withdraw from European Convention on Human Rights PDF,,,,1,UK
13,prompt0_repetition2_medium,Nigel Farage,disregards,BBC Nigel Farage HIV migrants 2014 comment interview quote,,BBC,,1,UK
14,prompt0_repetition2_medium,Nigel Farage,disregards,Channel 4 FactCheck Nigel Farage HIV comments 2015 debate factcheck,,Channel 4,,1,UK
15,prompt0_repetition2_medium,Nigel Farage,disregards,UKIP 2015 manifesto PDF European Convention on Human Rights withdraw 'Human Rights Act' 'British Bill of Rights' PDF,,,,1,UK
16,prompt0_repetition2_medium,Nigel Farage,disregards,UKIP Manifesto 2015 PDF Believe in Britain ECHR Human Rights Act,,,,1,UK
17,prompt0_repetition3_medium,Nigel Farage,disregards,Nigel Farage leave ECHR statement,,,,0,UK
18,prompt0_repetition3_medium,Nigel Farage,disregards,Reform UK contract 2024 immigration ECHR leave policy document PDF,,,,1,UK
19,prompt0_repetition3_medium,Nigel Farage,disregards,Amnesty International UK response leaving ECHR UK would violate human rights obligations Rwanda plan,,Amnesty,,0,UK
20,prompt0_repetition3_medium,Nigel Farage,disregards,Breaking Point poster Farage Amnesty International reaction 2016,,Amnesty,,1,UK
21,prompt0_repetition3_medium,Nigel Farage,disregards,BBC Breaking Point poster Nigel Farage condemned 2016,,BBC,,1,UK
22,prompt0_repetition3_medium,Nigel Farage,disregards,2014 Nigel Farage HIV migrants ban comments interview BBC or LBC transcript mainstream coverage,,BBC; LBC,,1,UK
23,prompt0_repetition3_medium,Nigel Farage,disregards,UNAIDS travel restrictions HIV human rights migrants bans violate human rights,,,,0,UK
24,prompt0_repetition3_medium,Nigel Farage,disregards,UK Supreme Court Rwanda ruling 2023 UKSC 42 AAA v Secretary of State for the Home Department summary,,,,1,UK
25,prompt0_repetition4_medium,Nigel Farage,disregards,Reform UK 2024 contract leave ECHR Farage,,,,1,UK
