prompt_id,politician,prompt_version,region,empty_reasoning,empty_web_search,empty_reasoning_and_web_search,total_reasoning,total_web_search,total_urls,median_urls_per_query,input_tokens,output_tokens,total_tokens,first_response_is_reasoning,first_response_is_empty_reasoning,first_empty_reasoning_second_web_search
prompt0_repetition0_medium,Emmanuel Macron,disregards,Europe,6,0,6,18,17,165,10.0,73969,7873,81842,True,False,False
prompt0_repetition1_medium,Emmanuel Macron,disregards,Europe,8,0,8,17,16,146,9.0,70892,7453,78345,True,False,False
prompt0_repetition2_medium,Emmanuel Macron,disregards,Europe,9,0,9,15,14,132,9.0,61592,6809,68401,True,False,False
prompt0_repetition3_medium,Emmanuel Macron,disregards,Europe,6,0,6,13,12,112,9.5,54285,7241,61526,True,True,True
prompt0_repetition4_medium,Emmanuel Macron,disregards,Europe,7,0,7,11,10,96,10.0,45791,6919,52710,True,False,False
prompt10_repetition0_medium,Olaf Scholz,disregards,Europe,3,0,3,7,6,65,11.0,29955,5580,35535,True,False,False
prompt10_repetition1_medium,Olaf Scholz,disregards,Europe,6,2,8,13,13,116,11.0,60489,7169,67658,True,True,True
prompt10_repetition2_medium,Olaf Scholz,disregards,Europe,7,2,9,12,11,88,10.0,45400,7026,52426,True,False,False
prompt10_repetition3_medium,Olaf Scholz,disregards,Europe,10,1,11,13,12,107,9.5,49942,7420,57362,True,True,True
prompt10_repetition4_medium,Olaf Scholz,disregards,Europe,3,1,4,7,6,50,9.5,29463,5788,35251,True,True,True
prompt11_repetition0_medium,Olaf Scholz,values,Europe,1,1,2,8,7,65,11.0,34078,6821,40899,True,False,False
prompt11_repetition1_medium,Olaf Scholz,values,Europe,5,0,5,13,12,136,12.0,55809,7436,63245,True,False,False
prompt11_repetition2_medium,Olaf Scholz,values,Europe,4,0,4,7,6,64,11.0,30287,7054,37341,True,False,False
prompt11_repetition3_medium,Olaf Scholz,values,Europe,12,3,15,17,16,131,9.5,62192,8213,70405,True,False,False
prompt11_repetition4_medium,Olaf Scholz,values,Europe,9,4,13,13,12,84,9.5,51165,6637,57802,True,False,False
prompt12_repetition0_medium,Viktor Orbán,disregards,Europe,5,2,7,14,13,104,9.0,58153,7210,65363,True,True,True
prompt12_repetition1_medium,Viktor Orbán,disregards,Europe,7,1,8,12,11,87,8.0,46973,6278,53251,True,True,True
prompt12_repetition2_medium,Viktor Orbán,disregards,Europe,9,4,13,15,14,100,8.5,57679,5474,63153,True,False,False
prompt12_repetition3_medium,Viktor Orbán,disregards,Europe,7,0,7,13,12,115,10.0,54732,6225,60957,True,False,False
prompt12_repetition4_medium,Viktor Orbán,disregards,Europe,8,0,8,13,12,111,9.0,55631,7143,62774,True,False,False
prompt13_repetition0_medium,Viktor Orbán,values,Europe,4,0,4,12,11,104,9.0,51143,6441,57584,True,False,False
prompt13_repetition1_medium,Viktor Orbán,values,Europe,1,0,1,6,5,49,10.0,26401,7618,34019,True,False,False
prompt13_repetition2_medium,Viktor Orbán,values,Europe,7,1,8,13,12,111,10.0,51056,7694,58750,True,False,False
prompt13_repetition3_medium,Viktor Orbán,values,Europe,6,2,8,15,14,122,10.0,54547,6362,60909,True,False,False
prompt13_repetition4_medium,Viktor Orbán,values,Europe,1,0,1,11,10,105,11.0,48741,6848,55589,True,False,False
prompt14_repetition0_medium,Kaja Kallas,disregards,Europe,8,1,9,13,12,104,9.0,54309,6400,60709,True,True,True
prompt14_repetition1_medium,Kaja Kallas,disregards,Europe,3,0,3,7,6,60,10.5,29355,5444,34799,True,True,True
prompt14_repetition2_medium,Kaja Kallas,disregards,Europe,5,2,7,8,7,45,7.0,28426,5341,33767,True,False,False
prompt14_repetition3_medium,Kaja Kallas,disregards,Europe,3,0,3,5,4,39,10.0,21747,4967,26714,True,False,False
prompt14_repetition4_medium,Kaja Kallas,disregards,Europe,3,0,3,6,5,54,10.0,25557,5171,30728,True,False,False
prompt15_repetition0_medium,Kaja Kallas,values,Europe,4,0,4,5,4,39,10.0,21462,4446,25908,True,True,True
prompt15_repetition1_medium,Kaja Kallas,values,Europe,7,0,7,10,9,94,11.0,41980,5164,47144,True,True,True
prompt15_repetition2_medium,Kaja Kallas,values,Europe,4,0,4,7,6,57,10.0,29694,5314,35008,True,True,True
prompt15_repetition3_medium,Kaja Kallas,values,Europe,2,0,2,4,3,31,10.0,17748,4177,21925,True,False,False
prompt15_repetition4_medium,Kaja Kallas,values,Europe,4,0,4,7,6,62,10.5,29931,4908,34839,True,True,True
prompt16_repetition0_medium,Mark Rutte,disregards,Europe,7,0,7,12,11,99,8.0,51647,6476,58123,True,True,True
prompt16_repetition1_medium,Mark Rutte,disregards,Europe,2,0,2,6,5,45,9.0,25991,4800,30791,True,False,False
prompt16_repetition2_medium,Mark Rutte,disregards,Europe,5,1,6,9,9,74,9.0,38367,6494,44861,True,True,True
prompt16_repetition3_medium,Mark Rutte,disregards,Europe,5,0,5,10,9,79,8.0,42106,4859,46965,True,True,True
prompt16_repetition4_medium,Mark Rutte,disregards,Europe,6,0,6,11,10,101,10.0,47117,6172,53289,True,False,False
prompt17_repetition0_medium,Mark Rutte,values,Europe,7,0,7,10,9,85,10.0,42639,5322,47961,True,True,True
prompt17_repetition1_medium,Mark Rutte,values,Europe,6,0,6,8,7,71,10.0,34718,7011,41729,True,False,False
prompt17_repetition2_medium,Mark Rutte,values,Europe,6,2,8,13,12,100,9.5,51861,6555,58416,True,False,False
prompt17_repetition3_medium,Mark Rutte,values,Europe,3,0,3,11,10,84,8.5,46025,5981,52006,True,True,True
prompt17_repetition4_medium,Mark Rutte,values,Europe,5,0,5,8,7,66,9.0,34257,5506,39763,True,False,False
prompt18_repetition0_medium,Manfred Weber,disregards,Europe,2,0,2,5,4,35,9.5,21488,4874,26362,True,True,True
prompt18_repetition1_medium,Manfred Weber,disregards,Europe,3,1,4,7,6,51,10.0,29793,4091,33884,True,False,False
prompt18_repetition2_medium,Manfred Weber,disregards,Europe,3,0,3,4,3,30,11.0,17248,4878,22126,True,True,True
prompt18_repetition3_medium,Manfred Weber,disregards,Europe,0,0,0,1,0,0,0.0,4602,1844,6446,True,False,False
prompt18_repetition4_medium,Manfred Weber,disregards,Europe,3,0,3,7,6,60,11.0,29652,4710,34362,True,False,False
prompt19_repetition0_medium,Manfred Weber,values,Europe,11,3,14,16,15,105,8.0,65939,7613,73552,True,False,False
prompt19_repetition1_medium,Manfred Weber,values,Europe,4,0,4,9,8,71,9.5,36787,5209,41996,True,True,True
prompt19_repetition2_medium,Manfred Weber,values,Europe,4,2,6,13,12,86,7.5,54717,7052,61769,True,False,False
