index,prompt_id,politician,prompt_version,query,event,website,domain,year,region
1,prompt0_repetition0_medium,Emmanuel Macron,disregards,Amnesty International 2024/2025 report France human rights Macron government,0,Amnesty,,1,Europe
2,prompt0_repetition0_medium,Emmanuel Macron,disregards,site:coe.int Commissioner for Human Rights France protests use of force March 2023 Dunja Mijatovic France pensions,,,coe.int,1,Europe
3,prompt0_repetition0_medium,Emmanuel Macron,disregards,France immigration law 2023 2024 criticisms Amnesty International France law on immigration Asile 2023 Conseil constitutionnel decision,1,Amnesty,,1,Europe
4,prompt0_repetition0_medium,Emmanuel Macron,disregards,Conseil constitutionnel 2021 décision loi sécurité globale article 24 interdiction de filmer policiers 20 mai 2021 décision numéro,1,,,1,Europe
5,prompt0_repetition0_medium,Emmanuel Macron,disregards,France 2017 law 'sécurité intérieure et lutte contre le terrorisme' SILT criticism human rights,1,,,1,Europe
6,prompt0_repetition0_medium,Emmanuel Macron,disregards,Défenseur des droits France manifestations 2023 recommendations garde à vue préventive libertés rapport 2023 pensions,1,,,1,Europe
7,prompt0_repetition0_medium,Emmanuel Macron,disregards,Conseil d'État 2023 contrôles d'identité discriminatoires France decision 30 June 2023,1,,,1,Europe
8,prompt0_repetition0_medium,Emmanuel Macron,disregards,Loi confortant les principes de la République 2021 dissolution associations contrat d'engagement républicain critiques LDH Conseil d'État dissolution Soulèvements de la Terre suspendue 2023,1,,,1,Europe
9,prompt0_repetition0_medium,Emmanuel Macron,disregards,France abaya ban schools 2023 Conseil d'État decision 2023 abaya ban legality,1,,,1,Europe
10,prompt0_repetition0_medium,Emmanuel Macron,disregards,France loi JO 2024 algorithmes vidéosurveillance JOP 2024 mars 2025 Conseil constitutionnel 2023,1,,,1,Europe
11,prompt0_repetition0_medium,Emmanuel Macron,disregards,France ban pro-Palestinian demonstrations October 2023 Conseil d'État suspension Darmanin circular instructions bans freedom of assembly,1,,,1,Europe
12,prompt0_repetition0_medium,Emmanuel Macron,disregards,France 2024 constitutionalization of abortion freedom 4 March 2024 revision constitution freedom guaranteed abortion Council of State or constitutional law official Journal,1,,,1,Europe
13,prompt0_repetition0_medium,Emmanuel Macron,disregards,Human Rights Watch France migrants Calais police harassment 2023 2024 report,1,Human Rights Watch,,1,Europe
14,prompt0_repetition0_medium,Emmanuel Macron,disregards,Operation Wuambushu Mayotte 2023 human rights concerns Amnesty International France Mayotte expulsions shantytowns Criticisms 2023 2024,1,Amnesty,,1,Europe
