prompt_id,politician,prompt_version,query,region
prompt0_repetition0_medium,Emmanuel Macron,disregards,Amnesty International 2024/2025 report France human rights Macron government,Europe
prompt0_repetition0_medium,Emmanuel Macron,disregards,site:coe.int Commissioner for Human Rights France protests use of force March 2023 Dunja Mijatovic France pensions,Europe
prompt0_repetition0_medium,Emmanuel Macron,disregards,France immigration law 2023 2024 criticisms Amnesty International France law on immigration Asile 2023 Conseil constitutionnel decision,Europe
prompt0_repetition0_medium,Emmanuel Macron,disregards,Conseil constitutionnel 2021 décision loi sécurité globale article 24 interdiction de filmer policiers 20 mai 2021 décision numéro,Europe
prompt0_repetition0_medium,Emmanuel Macron,disregards,France 2017 law 'sécurité intérieure et lutte contre le terrorisme' SILT criticism human rights,Europe
prompt0_repetition0_medium,Emmanuel Macron,disregards,Défenseur des droits France manifestations 2023 recommendations garde à vue préventive libertés rapport 2023 pensions,Europe
prompt0_repetition0_medium,Emmanuel Macron,disregards,Conseil d'État 2023 contrôles d'identité discriminatoires France decision 30 June 2023,Europe
prompt0_repetition0_medium,Emmanuel Macron,disregards,Loi confortant les principes de la République 2021 dissolution associations contrat d'engagement républicain critiques LDH Conseil d'État dissolution Soulèvements de la Terre suspendue 2023,Europe
prompt0_repetition0_medium,Emmanuel Macron,disregards,France abaya ban schools 2023 Conseil d'État decision 2023 abaya ban legality,Europe
prompt0_repetition0_medium,Emmanuel Macron,disregards,France loi JO 2024 algorithmes vidéosurveillance JOP 2024 mars 2025 Conseil constitutionnel 2023,Europe
prompt0_repetition0_medium,Emmanuel Macron,disregards,France ban pro-Palestinian demonstrations October 2023 Conseil d'État suspension Darmanin circular instructions bans freedom of assembly,Europe
prompt0_repetition0_medium,Emmanuel Macron,disregards,France 2024 constitutionalization of abortion freedom 4 March 2024 revision constitution freedom guaranteed abortion Council of State or constitutional law official Journal,Europe
prompt0_repetition0_medium,Emmanuel Macron,disregards,Human Rights Watch France migrants Calais police harassment 2023 2024 report,Europe
prompt0_repetition0_medium,Emmanuel Macron,disregards,Operation Wuambushu Mayotte 2023 human rights concerns Amnesty International France Mayotte expulsions shantytowns Criticisms 2023 2024,Europe
prompt0_repetition0_medium,Emmanuel Macron,disregards,RSF France security law 2020 filming police concern 2020 2021 'Loi securite globale' press freedom,Europe
prompt0_repetition0_medium,Emmanuel Macron,disregards,ECHR France discriminatory identity check 2025 judgment case name Besançon identity check Karim Touil c. France 26 juin 2025,Europe
prompt0_repetition0_medium,Emmanuel Macron,disregards,Sainte-Soline 2023 protests police violence injuries Amnesty International France statement Sainte-Soline,Europe
prompt0_repetition1_medium,Emmanuel Macron,disregards,Council of Europe Commissioner for Human Rights yellow vests France policing letter 2019 Dunja Mijatovic Macron,Europe
prompt0_repetition1_medium,Emmanuel Macron,disregards,Council of Europe Commissioner for Human Rights France protests 2023 Mijatovic statement pension reform France,Europe
prompt0_repetition1_medium,Emmanuel Macron,disregards,Council of Europe Commissioner Mijatovic France pension protests 2023 statement site:coe.int,Europe
prompt0_repetition1_medium,Emmanuel Macron,disregards,Conseil constitutionnel loi sécurité globale article 24 décision 2021-817 DC 20 mai 2021 France diffusion images forces de l'ordre,Europe
prompt0_repetition1_medium,Emmanuel Macron,disregards,site:conseil-constitutionnel.fr 2021-817 DC 20 mai 2021 sécurité globale,Europe
prompt0_repetition1_medium,Emmanuel Macron,disregards,Human Rights Watch World Report 2024 France human rights,Europe
prompt0_repetition1_medium,Emmanuel Macron,disregards,ECHR judgment France July 2023 prison conditions Fresnes inhuman degrading treatment case name,Europe
prompt0_repetition1_medium,Emmanuel Macron,disregards,France 2021 separatism law law reinforcing respect for the principles of the Republic criticism Amnesty France freedom of association dissolution associations 2021,Europe
prompt0_repetition1_medium,Emmanuel Macron,disregards,Conseil constitutionnel décision 2024 immigration loi pour contrôler l'immigration améliorer l'intégration censure février 2024 numéro,Europe
prompt0_repetition1_medium,Emmanuel Macron,disregards,OHCHR France UN experts 2019 yellow vests excessive force statement 14 February 2019 France,Europe
prompt0_repetition1_medium,Emmanuel Macron,disregards,OHCHR France yellow vests 2019 UN experts severe rights restrictions France 14 February 2019 site:ohchr.org,Europe
prompt0_repetition1_medium,Emmanuel Macron,disregards,Conseil d'État manifestations pro-Palestine interdictions octobre 2023 circulaire Darmanin jugement Conseil d'État liberté de manifester,Europe
prompt0_repetition1_medium,Emmanuel Macron,disregards,ECHR N.H. and Others v. France 2020 asylum seekers living conditions France violation Article 3,Europe
prompt0_repetition1_medium,Emmanuel Macron,disregards,OHCHR spokesperson France 30 June 2023 Nahel protests statement Police France 30 June 2023 site:ohchr.org,Europe
prompt0_repetition1_medium,Emmanuel Macron,disregards,CNIL avis vidéoprotection algorithmique JO 2024 France avis CNIL 2023 loi JOP 2024,Europe
prompt0_repetition1_medium,Emmanuel Macron,disregards,Conseil d'État dissolution 'Les Soulèvements de la Terre' annulation 2024,Europe
