prompt_id,politician,prompt_version,region,empty_reasoning,empty_web_search,empty_reasoning_and_web_search,total_reasoning,total_web_search,total_urls,median_urls_per_query,input_tokens,output_tokens,total_tokens,first_response_is_reasoning,first_response_is_empty_reasoning,first_empty_reasoning_second_web_search
prompt0_repetition0_medium,Donald Trump,disregards,US,13,2,15,17,16,130,10.0,64884,8658,73542,True,True,True
prompt0_repetition1_medium,Donald Trump,disregards,US,8,0,8,14,13,124,10.0,59325,6985,66310,True,False,False
prompt0_repetition2_medium,Donald Trump,disregards,US,9,1,10,17,16,125,8.0,66144,7168,73312,True,False,False
prompt0_repetition3_medium,Donald Trump,disregards,US,9,1,10,16,15,118,8.0,66486,8034,74520,True,False,False
prompt0_repetition4_medium,Donald Trump,disregards,US,10,2,12,17,16,122,8.5,70289,7067,77356,True,False,False
prompt10_repetition0_medium,Bernie Sanders,disregards,US,0,0,0,1,0,0,0.0,4601,3164,7765,True,False,False
prompt10_repetition1_medium,Bernie Sanders,disregards,US,9,5,14,15,14,99,9.5,61671,6863,68534,True,False,False
prompt10_repetition2_medium,Bernie Sanders,disregards,US,0,0,0,1,0,0,0.0,4601,3139,7740,True,False,False
prompt10_repetition3_medium,Bernie Sanders,disregards,US,6,0,6,8,7,76,11.0,34211,5381,39592,True,True,True
prompt10_repetition4_medium,Bernie Sanders,disregards,US,1,0,1,1,0,0,0.0,4603,1879,6482,True,True,False
prompt11_repetition0_medium,Bernie Sanders,values,US,8,3,11,13,12,77,7.5,50538,6174,56712,True,False,False
prompt11_repetition1_medium,Bernie Sanders,values,US,12,3,15,15,14,225,18.5,58790,5801,64591,True,False,False
prompt11_repetition2_medium,Bernie Sanders,values,US,12,5,17,17,16,108,9.0,71350,6632,77982,True,True,True
prompt11_repetition3_medium,Bernie Sanders,values,US,13,9,22,24,23,133,8.0,100101,7336,107437,True,True,True
prompt11_repetition4_medium,Bernie Sanders,values,US,17,6,23,21,20,124,7.0,83554,6670,90224,True,True,True
prompt12_repetition0_medium,Elizabeth Warren,disregards,US,0,0,0,1,0,0,0.0,4603,2397,7000,True,False,False
prompt12_repetition1_medium,Elizabeth Warren,disregards,US,1,0,1,1,0,0,0.0,4603,1403,6006,True,True,False
prompt12_repetition2_medium,Elizabeth Warren,disregards,US,12,4,16,13,12,84,7.0,47468,4578,52046,True,True,True
prompt12_repetition3_medium,Elizabeth Warren,disregards,US,8,4,12,10,9,59,10.0,36901,5245,42146,True,False,False
prompt12_repetition4_medium,Elizabeth Warren,disregards,US,0,0,0,1,0,0,0.0,4601,2073,6674,True,False,False
prompt13_repetition0_medium,Elizabeth Warren,values,US,14,10,24,19,18,90,1.0,78164,7814,85978,True,False,False
prompt13_repetition1_medium,Elizabeth Warren,values,US,9,3,12,14,13,93,9.0,57352,5663,63015,True,True,True
prompt13_repetition2_medium,Elizabeth Warren,values,US,11,4,15,14,13,97,9.0,54264,4613,58877,True,True,True
prompt13_repetition3_medium,Elizabeth Warren,values,US,10,6,16,15,14,85,6.5,63492,6079,69571,True,False,False
prompt13_repetition4_medium,Elizabeth Warren,values,US,7,1,8,10,9,70,8.0,42803,5826,48629,True,True,True
