prompt_id,politician,prompt_version,region,empty_reasoning,empty_web_search,empty_reasoning_and_web_search,total_reasoning,total_web_search,total_urls,median_urls_per_query,input_tokens,output_tokens,total_tokens,first_response_is_reasoning,first_response_is_empty_reasoning,first_empty_reasoning_second_web_search
prompt0_repetition0_medium,Nigel Farage,disregards,UK,6,0,6,9,8,84,10.5,40703,6301,47004,True,False,False
prompt0_repetition1_medium,Nigel Farage,disregards,UK,3,2,5,6,5,32,8.0,25905,5635,31540,True,False,False
prompt0_repetition2_medium,Nigel Farage,disregards,UK,2,0,2,6,5,46,9.0,25623,5430,31053,True,False,False
prompt0_repetition3_medium,Nigel Farage,disregards,UK,3,0,3,9,8,81,10.0,37997,5826,43823,True,True,True
prompt0_repetition4_medium,Nigel Farage,disregards,UK,6,3,9,10,9,66,10.0,39179,6416,45595,True,False,False
prompt10_repetition0_medium,David Lammy,disregards,UK,5,0,5,7,6,65,11.0,29243,4761,34004,True,True,True
prompt10_repetition1_medium,David Lammy,disregards,UK,3,1,4,6,5,43,10.0,26324,5204,31528,True,False,False
prompt10_repetition2_medium,David Lammy,disregards,UK,5,0,5,8,7,67,10.0,34182,4487,38669,True,False,False
prompt10_repetition3_medium,David Lammy,disregards,UK,4,0,4,7,6,62,11.0,29194,4330,33524,True,True,True
prompt10_repetition4_medium,David Lammy,disregards,UK,4,0,4,7,6,67,12.0,30938,5239,36177,True,False,False
prompt11_repetition0_medium,David Lammy,values,UK,10,6,16,14,13,64,3.0,47464,6605,54069,True,False,False
prompt11_repetition1_medium,David Lammy,values,UK,3,0,3,6,5,49,11.0,26237,5569,31806,True,False,False
prompt11_repetition2_medium,David Lammy,values,UK,6,0,6,13,12,114,10.0,56750,7366,64116,True,False,False
prompt11_repetition3_medium,David Lammy,values,UK,9,2,11,13,12,75,6.0,50464,6384,56848,True,False,False
prompt11_repetition4_medium,David Lammy,values,UK,5,2,7,10,9,59,7.0,42669,4745,47414,True,True,True
prompt12_repetition0_medium,Ed Davey,disregards,UK,10,2,12,14,13,89,7.0,59834,6439,66273,True,True,True
prompt12_repetition1_medium,Ed Davey,disregards,UK,3,0,3,6,5,33,7.0,26934,5061,31995,True,False,False
prompt12_repetition2_medium,Ed Davey,disregards,UK,4,0,4,6,5,37,8.0,26607,3967,30574,True,True,True
prompt12_repetition3_medium,Ed Davey,disregards,UK,4,0,4,10,9,72,8.0,43073,4767,47840,True,True,True
prompt12_repetition4_medium,Ed Davey,disregards,UK,8,1,9,11,10,77,8.5,46986,5483,52469,True,True,True
prompt13_repetition0_medium,Ed Davey,values,UK,6,0,6,14,13,110,9.0,57705,5392,63097,True,True,True
prompt13_repetition1_medium,Ed Davey,values,UK,14,5,19,16,16,94,6.0,66591,5743,72334,True,True,True
prompt13_repetition2_medium,Ed Davey,values,UK,9,1,10,13,12,100,9.5,52605,5657,58262,True,False,False
prompt13_repetition3_medium,Ed Davey,values,UK,13,0,13,16,15,121,8.0,67446,5428,72874,True,True,True
prompt13_repetition4_medium,Ed Davey,values,UK,12,4,16,17,16,106,7.5,69927,6562,76489,True,False,False
prompt14_repetition0_medium,Kemi Badenoch,disregards,UK,9,1,10,13,12,94,8.0,54367,7347,61714,True,False,False
prompt14_repetition1_medium,Kemi Badenoch,disregards,UK,6,0,6,9,8,91,11.5,37985,6493,44478,True,False,False
prompt14_repetition2_medium,Kemi Badenoch,disregards,UK,12,2,14,13,12,91,8.5,52384,6002,58386,True,True,True
prompt14_repetition3_medium,Kemi Badenoch,disregards,UK,7,1,8,9,8,67,9.0,38968,5421,44389,True,True,True
prompt14_repetition4_medium,Kemi Badenoch,disregards,UK,8,2,10,14,13,112,9.0,56641,6788,63429,True,False,False
prompt15_repetition0_medium,Kemi Badenoch,values,UK,2,0,2,6,5,51,10.0,26661,5611,32272,True,False,False
prompt15_repetition1_medium,Kemi Badenoch,values,UK,9,3,12,12,11,85,9.0,50440,5394,55834,True,True,True
prompt15_repetition2_medium,Kemi Badenoch,values,UK,2,1,3,9,8,64,9.0,39370,6653,46023,True,False,False
prompt15_repetition3_medium,Kemi Badenoch,values,UK,6,0,6,7,6,65,11.0,29469,5682,35151,True,True,True
prompt15_repetition4_medium,Kemi Badenoch,values,UK,5,0,5,6,5,57,12.0,26029,5650,31679,True,True,True
prompt16_repetition0_medium,Lisa Nandy,disregards,UK,5,0,5,7,6,45,8.5,30778,5168,35946,True,True,True
prompt16_repetition1_medium,Lisa Nandy,disregards,UK,7,3,10,11,10,56,6.5,47582,5907,53489,True,True,True
prompt16_repetition2_medium,Lisa Nandy,disregards,UK,8,5,13,11,10,47,3.5,46845,4621,51466,True,False,False
prompt16_repetition3_medium,Lisa Nandy,disregards,UK,0,0,0,1,0,0,0.0,4604,1286,5890,True,False,False
prompt16_repetition4_medium,Lisa Nandy,disregards,UK,0,0,0,1,0,0,0.0,4604,1551,6155,True,False,False
prompt17_repetition0_medium,Lisa Nandy,values,UK,11,4,15,15,14,91,7.5,59320,6544,65864,True,True,True
prompt17_repetition1_medium,Lisa Nandy,values,UK,6,0,6,8,7,62,9.0,32666,6064,38730,True,True,True
prompt17_repetition2_medium,Lisa Nandy,values,UK,7,0,7,10,9,80,9.0,43136,5184,48320,True,True,True
prompt17_repetition3_medium,Lisa Nandy,values,UK,7,0,7,11,10,88,9.0,46238,5820,52058,True,False,False
prompt17_repetition4_medium,Lisa Nandy,values,UK,1,0,1,5,4,33,8.0,21132,3925,25057,True,False,False
prompt18_repetition0_medium,Diane Abbot,disregards,UK,0,0,0,1,0,0,0.0,4604,2278,6882,True,False,False
prompt18_repetition1_medium,Diane Abbot,disregards,UK,1,0,1,1,0,0,0.0,4602,2435,7037,True,True,False
prompt18_repetition2_medium,Diane Abbot,disregards,UK,6,1,7,9,8,64,8.5,38222,4381,42603,True,False,False
prompt18_repetition3_medium,Diane Abbot,disregards,UK,0,0,0,1,0,0,0.0,4602,1553,6155,True,False,False
prompt18_repetition4_medium,Diane Abbot,disregards,UK,1,0,1,4,3,24,9.0,17981,3744,21725,True,False,False
prompt19_repetition0_medium,Diane Abbot,values,UK,13,2,15,17,16,104,7.0,65750,7349,73099,True,True,True
prompt19_repetition1_medium,Diane Abbot,values,UK,12,4,16,16,15,84,6.0,63040,5193,68233,True,False,False
prompt19_repetition2_medium,Diane Abbot,values,UK,11,4,15,13,12,71,6.5,51605,5086,56691,True,True,True
prompt19_repetition3_medium,Diane Abbot,values,UK,12,4,16,14,13,70,5.0,58109,4946,63055,True,True,True
prompt19_repetition4_medium,Diane Abbot,values,UK,8,0,8,12,11,93,8.0,49719,5681,55400,True,True,True
prompt1_repetition0_medium,Nigel Farage,values,UK,2,0,2,8,7,67,10.0,36649,7101,43750,True,False,False
prompt1_repetition1_medium,Nigel Farage,values,UK,6,4,10,10,9,46,5.0,38633,5359,43992,True,True,True
prompt1_repetition2_medium,Nigel Farage,values,UK,7,3,10,9,8,55,9.5,38984,5582,44566,True,True,True
prompt1_repetition3_medium,Nigel Farage,values,UK,7,0,7,12,11,99,10.0,49741,6000,55741,True,False,False
prompt1_repetition4_medium,Nigel Farage,values,UK,14,12,26,19,18,70,1.0,66276,6334,72610,True,False,False
prompt2_repetition0_medium,Keir Starmer,disregards,UK,6,1,7,12,11,107,10.0,49577,6891,56468,True,True,True
prompt2_repetition1_medium,Keir Starmer,disregards,UK,1,0,1,7,6,66,11.0,30904,7012,37916,True,True,True
prompt2_repetition2_medium,Keir Starmer,disregards,UK,6,0,6,8,7,72,10.0,34306,5470,39776,True,True,True
prompt2_repetition3_medium,Keir Starmer,disregards,UK,7,1,8,9,8,78,11.0,37605,5111,42716,True,False,False
prompt2_repetition4_medium,Keir Starmer,disregards,UK,13,1,14,15,14,129,10.5,56394,6365,62759,True,True,True
prompt3_repetition0_medium,Keir Starmer,values,UK,10,0,10,12,11,107,10.0,50394,7184,57578,True,True,True
prompt3_repetition1_medium,Keir Starmer,values,UK,8,3,11,13,12,88,8.0,53983,5763,59746,True,True,True
prompt3_repetition2_medium,Keir Starmer,values,UK,8,0,8,12,11,107,10.0,50958,7243,58201,True,False,False
prompt3_repetition3_medium,Keir Starmer,values,UK,9,0,9,12,11,113,10.0,50347,6013,56360,True,True,True
prompt3_repetition4_medium,Keir Starmer,values,UK,6,1,7,8,7,52,8.0,33143,5017,38160,True,True,True
prompt4_repetition0_medium,Jeremy Corbyn,disregards,UK,6,0,6,10,9,91,10.0,44504,7324,51828,True,True,True
prompt4_repetition1_medium,Jeremy Corbyn,disregards,UK,7,0,7,10,9,78,8.0,43595,7226,50821,True,True,True
prompt4_repetition2_medium,Jeremy Corbyn,disregards,UK,5,0,5,10,9,85,9.0,42856,6815,49671,True,False,False
prompt4_repetition3_medium,Jeremy Corbyn,disregards,UK,7,1,8,11,10,88,10.0,41859,5665,47524,True,False,False
prompt4_repetition4_medium,Jeremy Corbyn,disregards,UK,5,1,6,8,7,60,9.0,34428,5588,40016,True,True,True
prompt5_repetition0_medium,Jeremy Corbyn,values,UK,16,0,16,19,18,166,9.0,77769,7050,84819,True,True,True
prompt5_repetition1_medium,Jeremy Corbyn,values,UK,8,0,8,10,9,74,9.0,44040,6808,50848,True,True,True
prompt5_repetition2_medium,Jeremy Corbyn,values,UK,8,3,11,15,14,106,9.0,56070,6926,62996,True,True,True
prompt5_repetition3_medium,Jeremy Corbyn,values,UK,13,2,15,15,14,119,9.5,63022,6723,69745,True,True,True
prompt5_repetition4_medium,Jeremy Corbyn,values,UK,8,2,10,13,12,85,7.5,50539,6581,57120,True,False,False
prompt6_repetition0_medium,Rishi Sunak,disregards,UK,7,1,8,14,13,126,10.0,54229,6793,61022,True,False,False
