index,prompt_id,politician,prompt_version,query,event,website,domain,year,region,common_domain
562,prompt12_repetition2_medium,Elizabeth Warren,disregards,site:aclu.org scorecard Elizabeth Warren,,,aclu.org,,US,aclu.org
571,prompt12_repetition3_medium,Elizabeth Warren,disregards,"site:aclu.org ""Scorecard for"" ""Elizabeth Warren""",,,aclu.org,,US,aclu.org
594,prompt13_repetition2_medium,Elizabeth Warren,values,site:aclu.org scorecard Elizabeth Warren senator Massachusetts,,,aclu.org,,US,aclu.org
129,prompt2_repetition0_medium,JD Vance,disregards,American Medical Association policy gender-affirming care medically necessary statement site:ama-assn.org,,,ama-assn.org,,US,ama-assn.org
564,prompt12_repetition2_medium,Elizabeth Warren,disregards,site:amnestyusa.org Elizabeth Warren,,,amnestyusa.org ,,US,amnesty*
739,prompt15_repetition4_medium,Joe Biden,values,"bidenwhitehouse.archives.gov Armenian genocide statement April 24, 2021",,,bidenwhitehouse.archives.gov,,US,archives.gov
741,prompt15_repetition4_medium,Joe Biden,values,"Executive Order on Advancing Effective, Accountable Policing and Criminal Justice Practices May 25, 2022 site:bidenwhitehouse.archives.gov",,,bidenwhitehouse.archives.gov,,US,archives.gov
743,prompt15_repetition4_medium,Joe Biden,values,"Presidential Memorandum Advancing the Human Rights of LGBTQI+ Persons Around the World February 4, 2021 site:bidenwhitehouse.archives.gov",,,bidenwhitehouse.archives.gov,,US,archives.gov
11,prompt0_repetition0_medium,Donald Trump,disregards,CBP Title 42 expulsions monthly statistics site:cbp.gov 2020 2023 PDF,,,cbp.gov,,US,cbp.gov
521,prompt11_repetition0_medium,Bernie Sanders,values,Chicago Tribune photo Bernie Sanders arrest 1963 civil rights protest Chicago 'Sanders arrest 1963' site:chicagotribune.com,,,chicagotribune.com,,US,chicagotribune.com
901,prompt18_repetition3_medium,Hakeem Jeffries,disregards,Roll Call 114 118th Congress H.R. 7888 Biggs amendment clerk.house names,,,clerk.house ,,US,clerk.house
919,prompt19_repetition0_medium,Hakeem Jeffries,values,COVID-19 Hate Crimes Act House vote 2021 clerk.house Jeffries vote,,,clerk.house ,,US,clerk.house
328,prompt6_repetition0_medium,Alexandria Ocasio-Cortez,disregards,Roll Call vote H.R. 5323 Iron Dome Supplemental Appropriations Act 2021 present vote Ocasio-Cortez clerk.house.gov,,,clerk.house.gov,,US,house.gov
335,prompt6_repetition2_medium,Alexandria Ocasio-Cortez,disregards,clerk.house.gov Roll Call 151 2024 118th Congress Ocasio-Cortez vote Ukraine Security Supplemental,,,clerk.house.gov,,US,house.gov
